ID,Leeftijd,Marges,WijkenEnBuurten,Perioden,Gemeentenaam_1,SoortRegio_2,Codering_3,ErvarenGezondheidGoedZeerGoed_4
2822,20300,MW00000,BU03630202,2020JJ00,Amsterdam,Buurt,BU03630202,86.6
2823,20300,MW00000,BU03630203,2012JJ00,Amsterdam,Buurt,BU03630203,84.6
2824,20300,MW00000,BU03630203,2016JJ00,Amsterdam,Buurt,BU03630203,84.0
2825,20300,MW00000,BU03630203,2020JJ00,Amsterdam,Buurt,BU03630203,87.6
2826,20300,MW00000,WK036303,2012JJ00,Amsterdam,Wijk,WK036303,84.7
2827,20300,MW00000,WK036303,2016JJ00,Amsterdam,Wijk,WK036303,83.8
2828,20300,MW00000,WK036303,2020JJ00,Amsterdam,Wijk,WK036303,87.1
2829,20300,MW00000,BU03630300,2012JJ00,Amsterdam,Buurt,BU03630300,84.1
2830,20300,MW00000,BU03630300,2016JJ00,Amsterdam,Buurt,BU03630300,84.3
2831,20300,MW00000,BU03630300,2020JJ00,Amsterdam,Buurt,BU03630300,87.7
2832,20300,MW00000,BU03630301,2012JJ00,Amsterdam,Buurt,BU03630301,85.1
2833,20300,MW00000,BU03630301,2016JJ00,Amsterdam,Buurt,BU03630301,83.8
2834,20300,MW00000,BU03630301,2020JJ00,Amsterdam,Buurt,BU03630301,86.8
2835,20300,MW00000,BU03630302,2012JJ00,Amsterdam,Buurt,BU03630302,84.3
2836,20300,MW00000,BU03630302,2016JJ00,Amsterdam,Buurt,BU03630302,83.5
2837,20300,MW00000,BU03630302,2020JJ00,Amsterdam,Buurt,BU03630302,86.5
2838,20300,MW00000,BU03630303,2012JJ00,Amsterdam,Buurt,BU03630303,84.5
2839,20300,MW00000,BU03630303,2016JJ00,Amsterdam,Buurt,BU03630303,83.4
2840,20300,MW00000,BU03630303,2020JJ00,Amsterdam,Buurt,BU03630303,86.8
2841,20300,MW00000,BU03630304,2012JJ00,Amsterdam,Buurt,BU03630304,84.5
2842,20300,MW00000,BU03630304,2016JJ00,Amsterdam,Buurt,BU03630304,83.2
2843,20300,MW00000,BU03630304,2020JJ00,Amsterdam,Buurt,BU03630304,87.4
2844,20300,MW00000,BU03630305,2012JJ00,Amsterdam,Buurt,BU03630305,87.1
2845,20300,MW00000,BU03630305,2016JJ00,Amsterdam,Buurt,BU03630305,85.5
2846,20300,MW00000,BU03630305,2020JJ00,Amsterdam,Buurt,BU03630305,88.6
2847,20300,MW00000,BU03630306,2012JJ00,Amsterdam,Buurt,BU03630306,85.2
2848,20300,MW00000,BU03630306,2016JJ00,Amsterdam,Buurt,BU03630306,84.0
2849,20300,MW00000,BU03630306,2020JJ00,Amsterdam,Buurt,BU03630306,87.2
2850,20300,MW00000,WK036304,2012JJ00,Amsterdam,Wijk,WK036304,78.4
2851,20300,MW00000,WK036304,2016JJ00,Amsterdam,Wijk,WK036304,78.0
2852,20300,MW00000,WK036304,2020JJ00,Amsterdam,Wijk,WK036304,81.3
2853,20300,MW00000,BU03630400,2012JJ00,Amsterdam,Buurt,BU03630400,84.3
2854,20300,MW00000,BU03630400,2016JJ00,Amsterdam,Buurt,BU03630400,84.0
2855,20300,MW00000,BU03630400,2020JJ00,Amsterdam,Buurt,BU03630400,83.6
2856,20300,MW00000,BU03630401,2012JJ00,Amsterdam,Buurt,BU03630401,83.8
2857,20300,MW00000,BU03630401,2016JJ00,Amsterdam,Buurt,BU03630401,84.2
